Connected with result code qos: 0
ite/yellow 0 b'{"timestamp": "2024-11-12T13:42:20.000000", "temperature": 23.62, "illumination": 21, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:43:20.000000", "temperature": 23.62, "illumination": 22, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:44:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:45:20.000000", "temperature": 23.62, "illumination": 28, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:46:20.000000", "temperature": 23.62, "illumination": 30, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:47:20.000000", "temperature": 23.62, "illumination": 31, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:48:20.000000", "temperature": 23.62, "illumination": 28, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:50:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:50:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 27}'
